,第01章 风雪惊变,第02章 江南七怪,第03章 大漠风沙,第04章 黑风双煞,第05章 弯弓射雕,第06章 崖顶疑阵,第07章 比武招亲,第08章 各显神通,第09章 铁枪破犁,第10章 冤家聚头,第11章 长春服输,第12章 亢龙有悔,第13章 五湖废人,第14章 桃花岛主,第15章 神龙摆尾,第16章 九阴真经,第17章 双手互搏,第18章 三道试题,第19章 洪涛群鲨,第20章 窜改经文,第21章 千钧巨岩,第22章 骑鲨遨游,第23章 大闹禁宫,第24章 密室疗伤,第25章 荒村野店,第26章 新盟旧约,第27章 轩辕台前,第28章 铁掌峰顶,第29章 黑沼隐女,第30章 一灯大师,第31章 鸯鸳锦帕,第32章 湍江险滩,第33章 来日大难,第34章 岛上巨变,第35章 铁枪庙中,第36章 大军西征,第37章 从天而降,第38章 锦囊密令,第39章 是非善恶,第40章 华山论剑,附录一 成吉思汗家族,附录二 关于“全真教”,后记
郭靖,2,0,42,49,103,129,96,64,68,35,76,84,62,74,79,92,69,81,43,61,55,92,69,36,56,68,58,53,84,54,54,52,28,105,22,72,92,99,66,93,1,0,1
黄蓉,0,0,0,0,0,0,21,18,67,21,45,113,65,44,53,51,10,56,18,16,132,66,92,35,44,55,34,92,81,74,71,66,26,53,57,32,37,18,27,59,0,0,1
洪七公,0,0,0,0,0,0,0,0,0,0,0,204,2,10,46,4,4,70,78,112,110,127,30,1,7,5,26,6,10,1,3,1,34,30,14,0,1,2,19,83,0,0,0
黄药师,0,0,0,5,0,6,0,0,0,9,8,8,2,66,3,8,13,124,107,1,5,23,1,26,97,102,8,2,2,6,8,0,0,129,40,0,1,1,3,54,0,0,0
周伯通,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,81,132,13,120,6,2,50,59,1,12,3,1,1,0,3,11,1,23,2,25,0,1,49,47,3,0,1,0
欧阳克,0,0,0,0,0,0,0,8,6,29,22,15,22,0,75,15,0,65,17,28,106,14,0,5,52,3,2,0,0,1,1,1,2,0,0,3,1,0,0,4,0,0,0
梅超风,0,0,0,55,4,54,0,1,0,56,55,1,27,135,2,6,9,2,3,0,0,0,1,1,39,23,1,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0
柯镇恶,0,43,16,70,17,32,16,0,0,1,28,0,0,13,2,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,27,35,96,27,1,0,0,1,0,0,0
杨康,2,0,0,10,1,1,0,0,1,9,0,0,0,0,12,36,0,1,0,0,0,5,14,9,51,13,65,16,0,0,4,10,2,4,16,31,2,1,1,4,0,0,0
朱聪,0,28,6,42,19,27,9,0,0,1,33,0,0,14,5,1,1,0,0,0,0,0,0,0,0,10,2,1,1,0,0,0,0,13,8,0,0,0,0,0,0,0,0
完颜洪烈,0,49,16,10,2,18,0,7,24,2,8,0,0,0,9,37,0,0,0,0,0,27,35,26,5,1,2,4,0,0,0,2,2,0,23,21,13,0,2,1,0,0,0
裘千仞,0,0,0,0,0,0,0,0,0,0,0,0,40,54,0,1,1,0,0,0,0,0,0,0,14,41,45,68,8,6,0,37,0,0,14,0,0,26,44,0,0,0,0
铁木真,0,0,130,45,52,103,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30,0,0
穆念慈,0,0,0,0,0,0,0,2,6,1,30,82,64,0,0,28,0,1,0,0,1,1,0,0,47,1,0,4,0,0,13,21,0,0,2,2,0,0,1,15,0,0,1
彭连虎,0,0,0,0,0,0,18,9,37,15,82,1,0,1,1,0,0,2,0,0,0,11,9,28,1,0,0,0,0,0,0,0,15,2,15,4,0,0,11,1,0,0,0
杨铁心,144,3,1,4,1,4,0,0,35,8,38,3,0,0,1,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
陆冠英,0,0,0,0,0,0,0,0,0,0,0,0,96,15,4,1,0,0,0,0,0,0,0,94,51,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
拖雷,0,0,10,50,31,14,3,0,0,0,1,0,0,0,0,16,2,1,0,0,0,0,0,0,20,17,0,0,0,0,0,2,0,0,0,16,0,17,1,22,32,0,0
王处一,0,0,0,0,0,2,13,108,4,4,27,1,0,1,0,1,0,0,0,1,0,2,0,1,21,0,2,0,0,0,2,0,0,13,8,0,0,0,0,0,0,5,0
梁子翁,0,0,0,0,0,0,4,9,32,25,31,39,0,1,3,0,0,2,0,0,0,16,9,21,0,0,0,0,0,0,0,0,11,0,7,2,0,0,11,0,0,0,0
韩小莹,0,16,10,68,21,25,7,0,0,0,19,0,0,4,2,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0
华筝,0,0,0,0,58,34,2,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,14,22,1,0,0,1,0,2,0,1,0,30,4,10,4,2,0,0,0
韩宝驹,0,21,15,37,27,13,9,0,0,0,17,0,0,13,3,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0
包惜弱,110,24,0,1,0,0,0,0,31,2,18,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
沙通天,0,0,0,0,0,1,1,24,28,9,31,2,1,0,1,0,0,2,0,1,0,13,10,13,0,0,0,0,0,0,1,0,5,2,11,7,0,0,4,1,0,0,0
侯通海,0,0,0,0,0,0,25,16,24,15,18,0,0,0,1,0,0,0,0,0,0,5,6,56,1,0,0,0,0,0,0,0,2,0,0,1,0,0,7,0,0,0,0
全金发,0,16,5,37,18,17,2,0,0,0,11,0,0,7,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0
程瑶迦,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,78,58,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
瑛姑,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
冯蘅,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鲁有脚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,45,15,0,0,0,0,1,0,0,21,46,2,1,1,0,0,0
尹志平,0,0,0,0,14,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,23,0,1,0,0,0,0,0,0,13,2,0,0,1,0,0,0,2,0
一灯大师,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,28,6,3,0,1,1,4,1,7,0,0,0,2
南希仁,0,15,1,21,11,7,5,0,0,0,6,1,0,6,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,9,4,0,0,0,0,0,0,0
段天德,17,54,28,6,0,1,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
江南七怪,0,20,14,12,2,2,4,4,0,4,12,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,1,0,0,0,0,0,0
渔人,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,17,12,0,0,0,0,0,0,0,3,0,0,0,0
郭啸天,67,6,2,0,0,0,0,0,2,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
灵智上人,0,0,0,0,0,0,6,11,4,0,0,0,0,0,0,0,0,0,0,0,0,37,11,6,0,1,0,0,0,0,0,0,11,0,6,0,0,0,5,1,0,0,0
李萍,4,11,23,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,25,0,0,0,0,0
桑昆,0,0,2,21,8,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
王罕,0,0,11,13,14,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
窝阔台,0,0,12,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,49,0,0
察合台,0,0,7,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,1,0,0,38,1,0
札木合,0,0,19,5,2,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0
简长老,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,47,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
张阿生,0,21,3,33,5,4,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
陈玄风,0,0,0,45,3,4,0,0,0,4,1,1,1,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
陆乘风,0,0,0,0,0,0,0,0,0,1,0,0,0,40,7,1,1,0,1,0,0,1,0,1,0,1,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0
农夫,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,25,22,0,0,0,0,0,0,0,0,0,0,0,0
都史,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
术赤,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,33,0,0
黎生,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,2,0,0,0,0,1,0,0,1,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
彭长老,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,23,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
完颜洪熙,0,0,26,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
樵子,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,10,0,0,0,0,0,0,0,0,0,0,0,0
谭处端,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,6,0
孙不二,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,17,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,1,0
郝大通,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,3,0
博尔忽,0,0,3,2,5,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
裘千丈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,1,0,3,0,1,1,0,0,0,0,0,0,0,0
曲三,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
简管家,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
枯木,0,21,1,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
张十五,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
赤老温,0,0,5,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0
博尔术,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0
童子,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
吕文德,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0
哑梢公,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0
者勒米,0,0,9,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
钱青健,0,0,0,0,0,2,8,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
梁长老,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
余兆兴,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
汤祖德,0,0,0,0,0,0,0,12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
天竺僧人,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0
吴青烈,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
焦木和尚,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
盖运聪,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
瘦丐,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
胖丐,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
忽都虎,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
乔寨主,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
姜文,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
曲傻姑,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
